iter	Passed	Remaining
328	533	1088
329	534	1085
330	535	1083
331	537	1081
332	538	1079
333	540	1076
334	541	1074
335	542	1071
336	543	1069
337	544	1066
338	545	1063
339	546	1061
340	547	1058
341	549	1056
342	550	1053
343	551	1052
344	553	1050
345	554	1048
346	556	1046
347	557	1044
348	558	1041
349	559	1039
350	560	1037
351	562	1035
352	563	1032
353	564	1029
354	565	1027
355	567	1026
356	569	1025
357	570	1023
358	571	1020
359	573	1018
360	574	1017
361	576	1015
362	577	1013
363	578	1010
364	580	1009
365	581	1007
366	583	1005
367	584	1004
368	586	1002
369	587	1000
370	588	998
371	590	996
372	591	994
373	593	992
374	594	990
375	596	989
376	597	987
377	598	985
378	600	983
379	601	981
380	602	979
381	603	976
382	604	974
383	606	972
384	607	970
385	608	967
386	609	965
387	610	963
388	612	961
389	613	959
390	614	956
391	615	954
392	616	952
393	617	950
394	619	948
395	620	945
396	621	943
397	622	941
398	623	939
399	624	937
400	625	934
401	627	932
402	628	930
403	629	928
404	630	926
405	631	924
406	633	922
407	634	920
408	635	918
409	636	916
410	638	914
411	639	912
412	640	910
413	641	908
414	642	906
415	644	904
416	645	902
417	646	900
418	647	898
419	648	896
420	649	893
421	651	891
422	652	889
423	653	887
424	654	885
425	655	883
426	656	881
427	658	879
428	659	877
429	660	875
430	661	873
431	662	871
432	663	869
433	665	867
434	666	865
435	667	863
436	668	860
437	669	858
438	670	857
439	671	855
440	673	853
441	674	851
442	675	848
443	676	847
444	677	845
445	678	842
446	679	840
447	680	838
448	681	836
449	683	834
450	684	832
451	685	830
452	686	828
453	687	826
454	688	824
455	689	823
456	691	821
457	692	819
458	693	817
459	694	815
460	695	813
461	696	811
462	697	809
463	698	807
464	699	805
465	701	803
466	702	801
467	703	799
468	704	797
469	705	795
470	706	793
471	707	791
472	709	790
473	710	788
474	711	786
475	712	784
476	713	782
477	714	780
478	716	779
479	717	777
480	718	775
481	719	773
482	720	771
483	722	769
484	723	767
485	724	766
486	725	764
487	726	762
488	727	760
489	728	758
490	729	756
491	731	754
492	732	753
493	733	751
494	734	749
495	735	747
496	736	745
497	738	744
498	739	742
499	740	740
500	741	738
501	742	736
502	743	734
503	744	733
504	746	731
505	747	729
506	748	727
507	749	725
508	750	724
509	751	722
510	753	720
511	754	718
512	755	717
513	756	715
514	757	713
515	758	711
516	759	709
517	761	708
518	762	706
519	763	704
520	764	703
521	765	701
522	766	699
523	767	697
524	769	695
525	770	694
526	771	692
527	772	690
528	774	689
529	775	687
530	776	685
531	777	684
532	778	682
533	779	680
534	781	678
535	782	677
536	783	675
537	784	673
538	785	671
539	786	670
540	787	668
541	788	666
542	790	665
543	791	663
544	792	661
545	793	659
546	794	658
547	795	656
548	796	654
549	798	652
550	799	651
551	800	649
552	801	647
553	802	646
554	803	644
555	805	642
556	806	641
557	807	639
558	808	637
559	809	635
560	810	634
561	811	632
562	812	630
563	813	629
564	815	627
565	816	625
566	817	624
567	818	622
568	819	620
569	820	619
570	821	617
571	823	615
572	824	614
573	825	612
574	826	610
575	827	609
576	828	607
577	830	606
578	831	604
579	832	602
580	833	600
581	834	599
582	835	597
583	837	596
584	838	594
585	839	592
586	840	591
587	841	589
588	842	588
589	843	586
590	845	584
591	846	583
592	847	581
593	848	580
594	850	578
595	851	577
596	852	575
597	853	573
598	854	572
599	855	570
600	857	569
601	858	567
602	859	565
603	860	564
604	861	562
605	862	560
606	863	559
607	865	557
608	866	556
609	867	554
610	868	552
611	869	551
612	870	549
613	871	548
614	872	546
615	874	544
616	875	543
617	876	541
618	877	539
619	878	538
620	879	536
621	880	535
622	881	533
623	883	532
624	884	530
625	885	529
626	886	527
627	887	525
628	888	524
629	889	522
630	891	521
631	892	519
632	893	517
633	894	516
634	895	514
635	897	513
636	898	511
637	899	510
638	900	508
639	901	507
640	902	505
641	903	503
642	904	502
643	905	500
644	906	499
645	908	497
646	909	496
647	910	494
648	911	493
649	912	491
650	913	489
651	914	488
652	915	486
653	917	485
654	918	483
655	919	482
656	920	480
657	921	478
658	922	477
659	923	475
660	925	474
661	926	472
662	927	471
663	928	470
664	930	468
665	931	467
666	932	465
667	933	463
668	934	462
669	935	460
670	936	459
671	938	458
672	939	456
673	940	454
674	941	453
675	942	451
676	944	450
677	945	448
678	946	447
679	947	445
680	948	444
681	949	442
682	950	441
683	952	440
684	954	438
685	955	437
686	956	435
687	957	434
688	959	432
689	960	431
690	961	430
691	963	428
692	964	427
693	965	425
694	966	424
695	967	422
696	969	421
697	970	419
698	971	418
699	972	416
700	973	415
701	974	413
702	975	412
703	976	410
704	977	409
705	979	407
706	980	406
707	981	404
708	983	403
709	984	402
710	985	400
711	986	399
712	987	397
713	988	396
714	990	394
715	991	393
716	993	392
717	994	390
718	995	389
719	997	387
720	1000	387
721	1001	385
722	1002	384
723	1004	383
724	1006	381
725	1007	380
726	1009	378
727	1010	377
728	1011	376
729	1013	374
730	1015	373
731	1016	372
732	1017	370
733	1018	369
734	1020	367
735	1021	366
736	1023	365
737	1024	363
738	1025	362
739	1027	360
740	1028	359
741	1029	358
742	1031	356
743	1032	355
744	1033	353
745	1035	352
746	1036	351
747	1038	349
748	1039	348
749	1040	346
750	1041	345
751	1043	344
752	1044	342
753	1045	341
754	1046	339
755	1048	338
756	1049	336
757	1050	335
758	1051	333
759	1052	332
760	1054	331
761	1055	329
762	1056	328
763	1058	326
764	1060	325
765	1062	324
766	1063	323
767	1065	321
768	1066	320
769	1067	318
770	1068	317
771	1070	316
772	1071	314
773	1073	313
774	1075	312
775	1076	310
776	1077	309
777	1079	307
778	1080	306
779	1081	305
780	1082	303
781	1083	302
782	1085	300
783	1086	299
784	1088	298
785	1090	296
786	1091	295
787	1092	293
788	1093	292
789	1094	291
790	1096	289
791	1097	288
792	1098	286
793	1099	285
794	1100	283
795	1101	282
796	1103	281
797	1104	279
798	1105	278
799	1107	276
800	1108	275
801	1109	273
802	1110	272
803	1111	271
804	1113	269
805	1114	268
806	1115	266
807	1117	265
808	1118	264
809	1119	262
810	1121	261
811	1122	259
812	1123	258
813	1125	257
814	1126	255
815	1128	254
816	1129	253
817	1131	251
818	1132	250
819	1133	248
820	1134	247
821	1135	245
822	1137	244
823	1138	243
824	1139	241
825	1140	240
826	1141	238
827	1142	237
828	1143	235
829	1145	234
830	1146	233
831	1147	231
832	1148	230
833	1149	228
834	1151	227
835	1152	226
836	1153	224
837	1154	223
838	1155	221
839	1156	220
840	1157	218
841	1158	217
842	1159	216
843	1161	214
844	1162	213
845	1163	211
846	1164	210
847	1165	208
848	1167	207
849	1168	206
850	1169	204
851	1170	203
852	1171	201
853	1173	200
854	1174	199
855	1175	197
856	1176	196
857	1177	194
858	1178	193
859	1179	192
860	1181	190
861	1182	189
862	1183	187
863	1184	186
864	1185	185
865	1186	183
866	1187	182
867	1188	180
868	1190	179
869	1191	178
870	1192	176
871	1193	175
872	1194	173
873	1195	172
874	1197	171
875	1198	169
876	1199	168
877	1200	166
878	1201	165
879	1202	164
880	1203	162
881	1204	161
882	1206	159
883	1207	158
884	1208	157
885	1209	155
886	1210	154
887	1211	152
888	1213	151
889	1214	150
890	1215	148
891	1216	147
892	1217	145
893	1218	144
894	1219	143
895	1221	141
896	1222	140
897	1223	138
898	1224	137
899	1225	136
900	1226	134
901	1228	133
902	1229	132
903	1230	130
904	1231	129
905	1232	127
906	1233	126
907	1234	125
908	1236	123
909	1237	122
910	1238	121
911	1239	119
912	1241	118
913	1242	116
914	1243	115
915	1244	114
916	1245	112
917	1246	111
918	1247	109
919	1248	108
920	1250	107
921	1251	105
922	1252	104
923	1253	103
924	1254	101
925	1255	100
926	1257	98
927	1258	97
928	1259	96
929	1260	94
930	1261	93
931	1262	92
932	1263	90
933	1265	89
934	1266	88
935	1267	86
936	1268	85
937	1269	83
938	1270	82
939	1271	81
940	1272	79
941	1274	78
942	1275	77
943	1276	75
944	1277	74
945	1278	72
946	1279	71
947	1281	70
948	1282	68
949	1283	67
950	1284	66
951	1285	64
952	1286	63
953	1287	62
954	1288	60
955	1290	59
956	1291	58
957	1292	56
958	1293	55
959	1294	53
960	1295	52
961	1297	51
962	1298	49
963	1299	48
964	1300	47
965	1301	45
966	1302	44
967	1304	43
968	1305	41
969	1306	40
970	1307	39
971	1309	37
972	1310	36
973	1311	35
974	1313	33
975	1314	32
976	1315	30
977	1316	29
978	1317	28
979	1318	26
980	1319	25
981	1320	24
982	1322	22
983	1323	21
984	1324	20
985	1326	18
986	1327	17
987	1328	16
988	1329	14
989	1330	13
990	1332	12
991	1333	10
992	1334	9
993	1335	8
994	1336	6
995	1337	5
996	1339	4
997	1340	2
998	1341	1
999	1342	0
